% # columns="iteration, evaluation, void, void, void, xmean", seed=903023, Mon Aug  5 02:51:50 2024, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 4 0 0 0 -0.7479654607925612
2 8 0 0 0 0.4965240537087712
3 12 0 0 0 0.09297714759955045
4 16 0 0 0 -0.2154687994739793
5 20 0 0 0 -0.2253414245566225
6 24 0 0 0 -0.17449225730616386
7 28 0 0 0 -0.1674676225807941
8 32 0 0 0 -0.23269519916826228
9 36 0 0 0 -0.2510607227992969
10 40 0 0 0 -0.21005495447044223
11 44 0 0 0 -0.21140804882614478
12 48 0 0 0 -0.22419567669425755
13 52 0 0 0 -0.22225696440914663
14 56 0 0 0 -0.22775094439260693
15 60 0 0 0 -0.22519043889840518
16 64 0 0 0 -0.22676801004775715
17 68 0 0 0 -0.22662025453736329
18 72 0 0 0 -0.22620568695567203
19 76 0 0 0 -0.22638869679329682
20 80 0 0 0 -0.2260088920388839
21 84 0 0 0 -0.22595059838181136
22 88 0 0 0 -0.22609002997141447
23 92 0 0 0 -0.2261319156034841
24 96 0 0 0 -0.2261382432336041
25 100 0 0 0 -0.2261780676792699
26 104 0 0 0 -0.22616406805765635
27 108 0 0 0 -0.22613259801677987
28 112 0 0 0 -0.22611395934804202
29 116 0 0 0 -0.22616647510226148
30 120 0 0 0 -0.22613138209830191
31 124 0 0 0 -0.22613772079642364
32 128 0 0 0 -0.22615042507287325
33 132 0 0 0 -0.22614091052931273
34 136 0 0 0 -0.22613290455780077
35 140 0 0 0 -0.2261371477045249
36 144 0 0 0 -0.22613579994476318
37 148 0 0 0 -0.2261367472280162
38 152 0 0 0 -0.226136352337926
39 156 0 0 0 -0.2261362069331994
40 160 0 0 0 -0.22613604477349253
41 164 0 0 0 -0.22613623780549805
42 168 0 0 0 -0.22613620160102754
43 172 0 0 0 -0.22613629085329734
44 176 0 0 0 -0.22613627601796643
45 180 0 0 0 -0.22613620012741376
46 184 0 0 0 -0.2261363067189201
47 188 0 0 0 -0.22613626171828197
48 192 0 0 0 -0.22613626144261534
49 196 0 0 0 -0.22613626128829983
49 196 0 0 0 -0.22613626128829983
